"Network.ID","Davidson_Resident","Count.Network.IDs","Avg.Time","Dupes","Priority.Police","Full.Funding.Police","Full.Funding.Sheriff"
"4351a3d1b3",1,24,1,9,"Yes","Yes","Yes"
"9ff6b41c19",1,7,1,2,"Yes","Yes","Yes"
"78d39a0ec7",1,6,4,0,"Yes","Yes","Yes"
"744e302956",1,4,8,0,"Yes","Yes","Yes"
"20c488983e",1,3,4,0,"Yes","Yes","Yes"
"797ed55a9b",1,3,8,0,"Yes","Yes","Yes"
"8d472719e2",1,3,5,0,"Yes","Yes","Yes"
"dc98bd29a5",1,3,9,0,"Yes","Yes","Yes"
"21ed4dfc76",1,2,12,0,"No","No","No"
"6919d85723",1,2,6,0,"Yes","Yes","Yes"
"6e6b908c67",1,2,4,0,"No","No","No"
"715794c5ef",0,2,0,1,"No","No","No"
"861f7cf480",1,2,2,0,"Yes","Yes","Yes"
"8de9adb8d2",1,2,4,0,"Yes","Yes","Yes"
"9e4611aa1b",1,2,2,0,"Yes","Yes","Yes"
"9f3953b4ad",1,2,5,0,"No","Yes","Yes"
"c488dfcd88",1,2,4,0,"Yes","Yes","Yes"
"cea3661095",1,2,24,0,"Yes","Yes","Yes"
"cef7f91d9f",0,2,0,1,"No","No","No"
"dfe0ff4c6c",1,2,6,0,"Yes","Yes","Yes"
"f3c53af47d",1,2,6,0,"Yes","Yes","Yes"
"0154c3019c",1,1,5,0,"Yes","Yes","Yes"
"0218cf5412",1,1,12,0,"No","No","No"
"02800b41a8",1,1,5,0,"No","No","No"
"0454a2fd48",1,1,7,0,"Yes","Yes","Yes"
"06b7f1a4fd",1,1,3,0,"No","Yes","Yes"
"07d12e3a45",1,1,5,0,"Yes","Yes","Yes"
"09561e6b45",1,1,8,0,"Yes","Yes","No"
"0aa12223cf",1,1,4,0,"Yes","Yes","Yes"
"0aba794072",1,1,5,0,"No","Yes","Yes"
"1.81E+08",1,1,6,0,"No","Yes","No"
"110dc08b8a",1,1,6,0,"No","No","No"
"11d19373ff",0,1,0,0,"No","No","No"
"1503eb380b",1,1,10,0,"No","No","No"
"1674cfbf74",0,1,1,0,"No","No","No"
"16b82021c2",0,1,0,0,"No","No","No"
"16c6155872",1,1,11,0,"Yes","Yes","Yes"
"170b6f3134",1,1,7,0,"Yes","Yes","Yes"
"174c23f8a8",1,1,5,0,"Yes","Yes","Yes"
"1803b195a5",1,1,4,0,"Yes","Yes","Yes"
"1830c747de",1,1,6,0,"No","No","No"
"1921951073",1,1,7,0,"Yes","Yes","Yes"
"1a91613619",1,1,11,0,"Yes","Yes","Yes"
"1afce5e795",1,1,81,0,"No","No","No"
"1d5d851646",1,1,6,0,"No","No","No"
"1e52a5a84f",1,1,9,0,"No","Yes","Yes"
"1e990a2819",1,1,9,0,"No","No","No"
"1e9eaf142c",1,1,5,0,"No","No","No"
"22af188c32",0,1,0,0,"No","No","No"
"243eb80994",1,1,9,0,"Yes","Yes","Yes"
"244e56be44",1,1,11,0,"No","No","No"
"2588bd4686",1,1,8,0,"No","No","No"
"26bf6154e5",1,1,4,0,"Yes","Yes","Yes"
"27518d721b",1,1,18,0,"No","No","No"
"27e15c2332",1,1,6,0,"No","No","No"
"3042c6a37f",1,1,7,0,"Yes","Yes","Yes"
"306e25a8b3",1,1,18,0,"Yes","Yes","Yes"
"307c81429a",0,1,0,0,"No","No","No"
"33a094b459",1,1,10,0,"No","Yes","Yes"
"3406e87e48",0,1,1,0,"No","No","No"
"34596e69d6",1,1,5,0,"No","No","No"
"3520f2ecc4",1,1,4,0,"Yes","Yes","Yes"
"3697ba21b7",0,1,0,0,"No","No","No"
"399c4df901",1,1,4,0,"Yes","Yes","Yes"
"3a9a093b45",1,1,4,0,"Yes","Yes","Yes"
"3c20f99e79",1,1,8,0,"Yes","Yes","Yes"
"3e0cce6871",1,1,5,0,"Yes","Yes","Yes"
"3e69ada036",1,1,6,0,"No","No","No"
"3f5d49d0ee",1,1,14,0,"No","No","No"
