"Network.ID","Davidson_Resident","Count.Network.IDs","Avg.Time","Dupes","Priority.Police","Full.Funding.Police","Full.Funding.Sheriff"
"4351a3d1b3",1,24,1,10,"Yes","Yes","Yes"
"0de753be8b",1,8,6,0,"No","Yes","No"
"cea3661095",1,8,12,0,"Yes","Yes","Yes"
"9ff6b41c19",1,7,1,2,"Yes","Yes","Yes"
"16d00b8731",1,6,4,1,"No","Yes","No"
"78d39a0ec7",1,6,4,0,"Yes","Yes","Yes"
"7da7c8b149",1,5,16,0,"No","No","No"
"700db823bc",1,4,28,0,"Yes","Yes","Yes"
"744e302956",1,4,8,0,"Yes","Yes","Yes"
"7b3bbb08ab",0,4,0,4,"No","No","No"
"8d472719e2",1,4,4,0,"Yes","Yes","Yes"
"0747225cc2",1,3,7,0,"Yes","Yes","Yes"
"08f01be7c4",1,3,6,0,"No","No","No"
"20c488983e",1,3,4,1,"Yes","Yes","Yes"
"40be2f8038",1,3,5,0,"Yes","Yes","Yes"
"589cfc10fb",1,3,7,0,"Yes","Yes","Yes"
"59ed4cbf38",1,3,5,1,"Yes","Yes","Yes"
"6278fc763d",1,3,6,0,"No","No","No"
"797ed55a9b",1,3,8,0,"Yes","Yes","Yes"
"8adf867157",1,3,7,0,"No","No","No"
"a7998efde1",1,3,8,0,"No","No","No"
"b6f1d608d5",1,3,11,0,"No","No","No"
"dc98bd29a5",1,3,9,0,"Yes","Yes","Yes"
"e839bf35d5",1,3,6,0,"Yes","Yes","Yes"
"f0145675a0",1,3,7,0,"No","No","No"
"f0deb45249",1,3,6,0,"Yes","Yes","Yes"
"fa5eee7f26",1,3,9,0,"Yes","Yes","Yes"
"ff99ce69f7",1,3,12,0,"No","Yes","Yes"
"026402aeb3",1,2,6,0,"Yes","Yes","No"
"053dc6313e",1,2,33,0,"No","No","No"
"06b7f1a4fd",1,2,4,0,"No","Yes","Yes"
"092917e49f",1,2,6,0,"No","No","No"
"0d411c604f",1,2,4,1,"Yes","Yes","Yes"
"105baa2a5f",1,2,20,0,"No","No","No"
"17a8825d38",1,2,6,0,"Yes","No","No"
"1b98688347",1,2,18,0,"No","No","No"
"1d5a4e886f",0,2,0,2,"No","No","No"
"206bb2d967",0,2,0,2,"No","No","No"
"21ed4dfc76",1,2,12,0,"No","No","No"
"25886407a5",1,2,7,0,"No","No","No"
"25935b6c5b",1,2,3,1,"No","No","No"
"293f9f997d",1,2,4,0,"Yes","Yes","Yes"
"2a210b5c37",1,2,7,1,"No","No","No"
"2e0daa7d14",1,2,14,0,"Yes","Yes","Yes"
"2ebbd9e140",1,2,3,1,"No","No","No"
"391831c183",1,2,14,0,"No","No","No"
"3bd1d73f19",1,2,12,0,"No","No","No"
"3c307dabb5",1,2,7,0,"Yes","Yes","Yes"
"3e7f88329a",0,2,0,2,"No","No","No"
"3ef3e12dc2",1,2,3,1,"No","No","No"
"44a16e907b",1,2,5,1,"No","No","No"
"44f170318d",1,2,30,0,"No","No","No"
"456a61eae5",1,2,8,0,"No","No","No"
"4e82397fe9",1,2,6,0,"Yes","Yes","Yes"
"4ebd2e83c0",1,2,5,0,"Yes","Yes","Yes"
"516ad375b9",1,2,4,0,"Yes","Yes","Yes"
"525654b9b6",1,2,20,0,"No","No","No"
"559e38c85a",1,2,2,1,"No","No","No"
"5887831425",1,2,6,1,"Yes","Yes","Yes"
"6170b33a3b",1,2,7,0,"Yes","Yes","Yes"
"6324ef256a",1,2,6,0,"Yes","Yes","Yes"
"636b9334fe",1,2,4,1,"No","No","No"
"646282775",1,2,4,1,"No","No","Yes"
"6554b00878",1,2,2,1,"No","No","No"
"66c5253d54",1,2,5,1,"No","No","No"
"670a79680b",1,2,10,0,"No","No","No"
"6919d85723",1,2,6,0,"Yes","Yes","Yes"
"69d7ee3f74",1,2,6,0,"Yes","Yes","Yes"
"6b0c2ab527",1,2,4,1,"No","No","No"
"6dba648644",1,2,7,0,"No","No","No"
"6e6b908c67",1,2,4,1,"No","No","No"
"715794c5ef",0,2,0,2,"No","No","No"
"7271cecddd",0,2,0,2,"No","No","No"
"73842fbbf4",0,2,0,2,"No","No","No"
"76e7554abe",1,2,5,0,"No","No","No"
"77ef30b917",1,2,12,0,"No","No","No"
"793f1cf574",1,2,2,1,"Yes","Yes","Yes"
"839104b334",1,2,53,0,"No","No","No"
"853d366268",1,2,6,1,"Yes","Yes","Yes"
"856c9c3a10",1,2,10,1,"No","No","No"
"861f7cf480",1,2,2,1,"Yes","Yes","Yes"
"86f5295f58",1,2,12,0,"No","No","No"
"87da1c6cda",1,2,84,0,"No","No","No"
"8de9adb8d2",1,2,4,0,"Yes","Yes","Yes"
"8e4abc6ecd",1,2,14,0,"No","No","No"
"93c27d5e06",1,2,4,1,"Yes","Yes","Yes"
"95b3a91bbb",1,2,43,0,"No","No","No"
"9a46c914aa",1,2,6,0,"No","No","No"
"9afcaa6581",1,2,6,0,"No","No","No"
"9ba967a2ec",1,2,5,0,"No","Yes","Yes"
"9e4611aa1b",1,2,2,1,"Yes","Yes","Yes"
"9f3953b4ad",1,2,5,1,"No","Yes","Yes"
"a0ff33c557",1,2,4,0,"Yes","Yes","No"
"a2d0cc8fd1",1,2,3,1,"No","No","No"
"a45ab5ebdb",1,2,2,1,"No","No","No"
"a9b3cc2872",1,2,8,0,"No","No","No"
"ac468e94a9",1,2,6,0,"No","No","No"
"b0b011f044",0,2,0,2,"No","No","No"
"b2ecbd658c",1,2,3,1,"No","No","No"
"b2feb94355",1,2,8,0,"No","No","No"
"b4aa4da9d7",1,2,10,0,"No","No","No"
"b6496bbbeb",0,2,0,2,"No","No","No"
"b6ee10c655",1,2,8,0,"No","Yes","Yes"
"b792f155d6",1,2,2,1,"Yes","Yes","Yes"
"b7eee4f2f7",1,2,8,0,"Yes","Yes","Yes"
"b8092cd8c8",1,2,3,0,"No","No","No"
"be0fb244ba",1,2,3,1,"No","No","No"
"c291d0edd3",1,2,4,1,"No","No","No"
"c44049be19",1,2,5,0,"No","No","No"
"c488dfcd88",1,2,4,1,"Yes","Yes","Yes"
"c709d4a886",1,2,11,0,"No","Yes","No"
"cb92216ef0",1,2,10,0,"No","No","No"
"ce9bdf2c83",1,2,2,1,"No","No","No"
"cef7f91d9f",0,2,0,2,"No","No","No"
"d526d287dd",1,2,14,0,"No","No","No"
"d768d5e36c",1,2,4,1,"No","No","No"
"da071f0516",1,2,16,0,"No","No","No"
